Distance_to_wall-180	Distance_to_copter-180	Distance_to_wall-135	Distance_to_copter-135	Distance_to_wall-90	Distance_to_copter-90	Distance_to_wall-45	Distance_to_copter-45	Distance_to_wall0	Distance_to_copter0	Distance_to_wall45	Distance_to_copter45	Distance_to_wall90	Distance_to_copter90	Distance_to_wall135	Distance_to_copter135	Class
6.249167	1.270782	8	5.068242	5.457317	3.014043	8	8	1.350833	8	8	8	4.142683	1.775731	6.017233	3.629062	4
0.1623597	8	8	8	6.079319	3.376747	8	3.991678	7.43764	0.1779414	6.554736	3.738134	3.520681	8	8	8	4
3.17886	2.114391	8	3.201512	5.774642	3.500707	8	4.668474	4.42114	1.047803	4.603528	2.492153	4.054968	2.30282	8	8	4
7.582704	5.26256	8	8	1.434848	8	8	8	0.01729631	8	8	8	8	3.837757	8	0.7401751	4
1.545336	8	8	8	2.564893	8	8	0.2425978	6.054664	4.711571	8	3.201512	7.035108	3.376747	8	8	4
3.553122	8	8	3.188893	8	2.30282	8	1.766921	4.046878	8	2.420518	8	8	8	2.011807	8	4
1.955944	8	8	8	2.070592	8	8	8	5.644056	4.276449	8	4.225375	7.530981	3.500707	8	0.2425978	4
6.63239	4.276449	8	8	2.064851	8	8	0.7401751	0.9676096	8	8	8	7.53515	3.014043	8	3.883136	4
4.624786	1.047803	8	4.101559	5.848339	8	8	3.883136	2.975214	1.270782	8	1.46922	3.922712	2.415053	4.657473	8	4
0.7115986	0.1779414	8	8	6.259188	3.387207	8	6.855911	6.888401	2.114391	5.999127	3.188893	3.340812	8	8	8	4
6.247172	1.267977	8	5.06588	5.457444	3.013274	8	8	1.352828	8	8	8	4.142556	1.813512	6.015717	3.62622	1
0.1633379	8	8	8	6.078564	3.374159	8	3.992308	7.436662	0.1794108	6.554335	3.736067	3.521436	8	8	8	8
3.179482	2.113096	8	3.200082	5.773619	3.500299	8	4.665789	4.420518	1.047671	4.604046	2.513642	4.056139	2.301396	8	8	5
7.581217	5.259014	8	8	1.43526	8	8	8	0.01878262	8	8	8	8	3.837646	8	0.7402171	1
1.544513	8	8	8	2.56621	8	8	0.2461515	6.055487	4.711278	8	3.200082	7.03379	3.374159	8	8	3
3.552667	8	8	3.185228	8	2.301396	8	1.746193	4.047333	8	2.422099	8	8	8	2.012856	8	5
1.957865	8	8	8	2.06957	8	8	8	5.642135	4.273377	8	4.224216	7.532043	3.500299	8	0.2461515	7
6.631241	4.273377	8	8	2.065847	8	8	0.7402171	0.9687586	8	8	8	7.534153	3.013274	8	3.880201	0
4.625298	1.047671	8	4.100457	5.846894	8	8	3.880201	2.974703	1.267977	8	1.504092	3.923952	2.41462	4.658946	8	5
0.7137914	0.1794108	8	8	6.259445	3.385509	8	6.852757	6.886209	2.113096	5.99718	3.185228	3.340555	8	8	8	7
6.242947	1.262416	8	5.060707	5.457922	3.012236	8	8	1.357053	8	8	8	4.142078	1.850286	6.01236	3.62051	1
0.1648321	8	8	8	6.076571	3.369346	8	3.992722	7.435168	0.1825761	6.554187	3.734384	3.523429	8	8	8	8
3.180174	2.110805	8	3.196754	5.771053	3.498195	8	4.66088	4.419826	1.047429	4.60582	2.536442	4.05879	2.300741	8	8	5
7.578318	5.252134	8	8	1.435413	8	8	8	0.02168226	8	8	8	8	3.838372	8	0.740234	1
1.543332	8	8	8	2.568337	8	8	0.2520762	6.056668	4.710667	8	3.196754	7.031663	3.369346	8	8	3
3.552927	8	8	3.179782	8	2.300741	8	1.725102	4.047073	8	2.423509	8	8	8	2.014997	8	5
1.961715	8	8	8	2.068178	8	8	8	5.638285	4.267698	8	4.220437	7.533514	3.498195	8	0.2520762	7
6.629413	4.267698	8	8	2.067642	8	8	0.740234	0.970587	8	8	8	7.532358	3.012236	8	3.874293	0
4.625802	1.047429	8	4.097399	5.843238	8	8	3.874293	2.974198	1.262416	8	1.541204	3.927312	2.415165	4.662213	8	5
0.7175643	0.1825761	8	8	6.260642	3.383518	8	6.847841	6.882436	2.110805	5.9934	3.179782	3.339358	8	8	8	7
6.238022	1.254989	8	5.054089	5.45808	3.010527	8	8	1.361978	8	8	8	4.141921	1.887222	6.008729	3.613698	1
0.1667519	8	8	8	6.074197	3.362739	8	3.993433	7.433248	0.1866522	6.553895	3.731966	3.525804	8	8	8	8
3.18003	2.107169	8	3.190814	5.76666	3.494073	8	4.654379	4.41997	1.048841	4.609581	2.561476	4.0629	2.300902	8	8	5
7.573719	5.242399	8	8	1.435081	8	8	8	0.02628112	8	8	8	8	3.838939	8	0.7400037	1
1.541383	8	8	8	2.571541	8	8	0.2603663	6.058617	4.710051	8	3.190814	7.028459	3.362739	8	8	3
3.553239	8	8	3.172485	8	2.300902	8	1.704197	4.046761	8	2.42546	8	8	8	2.017871	8	5
1.966752	8	8	8	2.066422	8	8	8	5.633248	4.25999	8	4.21512	7.535376	3.494073	8	0.2603663	7
6.62674	4.25999	8	8	2.069777	8	8	0.7400037	0.9732602	8	8	8	7.530223	3.010527	8	3.86554	0
4.627133	1.048841	8	4.093209	5.837589	8	8	3.86554	2.972867	1.254989	8	1.580018	3.93235	2.416806	4.667585	8	5
0.7223735	0.1866522	8	8	6.262466	3.380702	8	6.841559	6.877626	2.107169	5.988411	3.172485	3.337534	8	8	8	7
6.231311	1.244972	8	5.044882	5.457411	3.00764	8	8	1.368689	8	8	8	4.14259	1.924461	6.004402	3.605477	1
0.1688933	8	8	8	6.071316	3.354382	8	3.993999	7.431107	0.1918991	6.553699	3.728495	3.528685	8	8	8	8
3.180056	2.102486	8	3.18276	5.760609	3.488182	8	4.645326	4.419944	1.050963	4.614644	2.587882	4.068634	2.301175	8	8	5
7.568682	5.23129	8	8	1.435031	8	8	8	0.03131795	8	8	8	8	3.83888	8	0.7406172	1
1.538914	8	8	8	2.575829	8	8	0.2704411	6.061086	4.708667	8	3.18276	7.024171	3.354382	8	8	3
3.553159	8	8	3.163182	8	2.301175	8	3.605477	4.046842	1.683842	2.428514	8	8	8	2.021341	8	5
1.972698	8	8	8	2.064631	8	8	8	5.627302	4.250016	8	4.208989	7.537296	3.488182	8	0.2704411	7
6.622708	4.250016	8	8	2.072323	8	8	0.7406172	0.9772918	8	8	8	7.527678	3.00764	8	3.854518	0
4.629313	1.050963	8	4.088473	5.830953	8	8	3.854518	2.970687	1.244972	8	1.619656	3.938097	2.418477	4.674254	8	5
0.7286587	0.1918991	8	8	6.263689	3.375821	8	6.832383	6.871341	2.102486	5.982556	3.163182	3.336312	8	8	8	7
6.223853	1.233198	8	5.034011	5.456984	3.003787	8	8	1.376147	8	8	8	4.143016	1.96135	5.999376	3.595518	1
0.1721106	8	8	8	6.066721	3.34227	8	3.992729	7.427889	0.1974209	6.553555	3.724027	3.533279	8	8	8	8
3.179331	2.096607	8	3.171149	5.752826	3.479645	8	4.633922	4.420669	1.054421	4.621569	2.61645	4.075766	2.301639	8	8	5
7.562082	5.217345	8	8	1.435506	8	8	8	0.03791738	8	8	8	8	3.838295	8	0.741205	1
1.536447	8	8	8	2.582016	8	8	0.2824959	6.063553	4.706278	8	3.171149	7.017985	3.34227	8	8	3
3.552869	8	8	3.152193	8	2.301639	8	3.595518	4.047131	1.663924	2.432597	8	8	8	2.025649	8	5
1.979922	8	8	8	2.063237	8	8	8	5.620079	4.237691	8	4.20065	7.538854	3.479645	8	0.2824959	7
6.617596	4.237691	8	8	2.076047	8	8	0.741205	0.9824045	8	8	8	7.523953	3.003787	8	3.840064	0
4.632082	1.054421	8	4.081481	5.822496	8	8	3.840064	2.967918	1.233198	8	1.661009	3.945428	2.420646	4.682748	8	5
0.7357659	0.1974209	8	8	6.264722	3.368742	8	6.820867	6.864234	2.096607	5.976136	3.152193	3.335278	8	8	8	7
6.214597	1.21912	8	5.021699	5.456593	2.999058	8	8	1.385403	8	8	8	4.143408	1.99777	5.993049	3.582855	1
0.1759756	8	8	8	6.062001	3.328366	8	3.991621	7.424025	0.2043543	6.552947	3.719319	3.538	8	8	8	8
3.178983	2.089714	8	3.157794	5.744041	3.470531	8	4.619892	4.421017	1.058051	4.629134	2.645868	4.08397	2.302121	8	8	5
7.555068	5.202496	8	8	1.436221	8	8	8	0.04493213	8	8	8	8	3.837953	8	0.7429992	1
1.53358	8	8	8	2.589592	8	8	0.2964537	6.06642	4.702972	8	3.157794	7.010408	3.328366	8	8	3
3.553594	8	8	3.139485	8	2.302121	8	2.421882	4.046406	1.643594	2.43639	8	8	8	2.031435	8	5
1.987568	8	8	8	2.061441	8	8	8	5.612432	4.22359	8	4.192472	7.540831	3.470531	8	0.2964537	7
6.611118	4.22359	8	8	2.080742	8	8	0.7429992	0.9888813	8	8	8	7.519258	2.999058	8	3.823637	0
4.635365	1.058051	8	4.073969	5.813771	8	8	3.823637	2.964635	1.21912	8	1.702716	3.952878	8	4.691761	2.421882	5
0.7446947	0.2043543	8	8	6.266458	3.360543	8	6.806604	6.855305	2.089714	5.967823	3.139485	3.333543	8	8	8	7
6.204928	1.204346	8	5.007581	5.455856	2.993186	8	8	1.395072	8	8	8	4.144145	2.034532	5.986678	3.569083	1
0.1799247	8	8	8	6.056352	3.312513	8	3.989858	7.420075	0.2130999	6.552788	3.71474	3.543649	8	8	8	8
3.178324	2.081666	8	3.141694	5.733672	3.459045	8	4.60363	4.421676	1.06202	4.638203	2.677063	4.093577	2.303154	8	8	5
7.547356	5.185619	8	8	1.437169	8	8	8	0.05264425	8	8	8	8	3.836975	8	0.7454318	1
1.53099	8	8	8	2.598407	8	8	0.3117758	6.06901	4.698331	8	3.141694	7.001593	3.312513	8	8	3
3.554697	8	8	3.124903	8	2.303154	8	2.423461	4.045303	1.62351	2.440475	8	8	8	2.038233	8	5
1.996573	8	8	8	2.060023	8	8	8	5.603427	4.207024	8	4.181882	7.542472	3.459045	8	0.3117758	7
6.603522	4.207024	8	8	2.086163	8	8	0.7454318	0.9964776	8	8	8	7.513838	2.993186	8	3.804582	0
4.63868	1.06202	8	4.064276	5.803406	8	8	3.804582	2.96132	1.204346	8	1.746229	3.961902	8	4.702129	2.423461	5
0.7550397	0.2130999	8	8	6.2688	3.351517	8	6.790215	6.84496	2.081666	5.958003	3.124903	3.3312	8	8	8	7
6.195148	1.189646	8	4.993256	5.45506	2.98651	8	8	1.404852	8	8	8	4.14494	2.071455	5.980278	3.554795	1
0.1851921	8	8	8	6.05016	3.294312	8	3.987705	7.414808	0.2221709	6.551841	3.709684	3.54984	8	8	8	8
3.177033	2.072037	8	3.124544	5.723232	3.447598	8	4.586842	4.422966	1.066037	4.647679	2.709274	4.103052	2.304214	8	8	5
7.539029	5.16752	8	8	1.438479	8	8	8	0.06097126	8	8	8	8	3.835438	8	0.7480485	1
1.527697	8	8	8	2.608413	8	8	0.3291589	6.072303	4.693851	8	3.124544	6.991588	3.294312	8	8	3
3.556302	8	8	3.10932	8	2.304214	8	2.426003	4.043698	1.603915	2.444271	8	8	8	2.045571	8	5
2.0061	8	8	8	2.058137	8	8	8	5.5939	4.18936	8	4.169719	7.544606	3.447598	8	0.3291589	7
6.595333	4.18936	8	8	2.092278	8	8	0.7480485	1.004667	8	8	8	7.507722	2.98651	8	3.7834	0
4.641486	1.066037	8	4.052744	5.791375	8	8	3.7834	2.958514	1.189646	8	8	3.972677	1.791784	4.713565	2.426003	5
0.7665992	0.2221709	8	8	6.271661	3.341478	8	6.772264	6.833401	2.072037	5.946894	3.10932	3.328339	8	8	8	7
6.1838	1.173236	8	4.976787	5.45468	2.980491	8	8	1.4162	8	8	8	4.14532	2.107666	5.97248	3.538935	1
0.1908743	8	8	8	6.042397	3.273518	8	3.984107	7.409125	0.231396	6.551435	3.704646	3.557603	8	8	8	8
3.17591	2.062544	8	3.106048	5.712287	3.43497	8	4.569331	4.42409	1.069715	4.657494	2.742184	4.113064	2.305174	8	8	5
7.529377	5.146918	8	8	1.439725	8	8	8	0.07062292	8	8	8	8	3.834435	8	0.7499624	1
1.524513	8	8	8	2.619512	8	8	0.3478123	6.075487	4.688909	8	3.106048	6.980489	3.273518	8	8	3
3.557627	8	8	3.093437	8	2.305174	8	2.429304	4.042373	1.585504	2.448627	8	8	8	2.053051	8	5
2.016873	8	8	8	2.056658	8	8	8	5.583127	4.169973	8	4.155354	7.546379	3.43497	8	0.3478123	7
6.586658	4.169973	8	8	2.098279	8	8	0.7499624	1.013342	8	8	8	7.501721	2.980491	8	3.761001	0
4.644154	1.069715	8	4.039418	5.778035	8	8	3.761001	2.955846	1.173236	8	8	3.984756	1.838899	4.725994	2.429304	5
0.7782757	0.231396	8	8	6.273958	3.329859	8	6.753572	6.821724	2.062544	5.936015	3.093437	3.326042	8	8	8	7
6.172117	1.157738	8	4.9604	5.454796	2.974109	8	8	1.427883	8	8	8	4.145205	2.143454	5.964107	3.522037	1
0.1967678	8	8	8	6.034127	3.251146	8	3.981339	7.403232	0.241338	6.551149	3.698653	3.565874	8	8	8	8
3.174998	2.053321	8	3.085683	5.699881	3.421794	8	4.55011	4.425002	1.071843	4.66843	2.776426	4.124535	2.306399	8	8	5
7.519237	5.124722	8	8	1.44173	8	8	8	0.0807631	8	8	8	8	3.833135	8	0.7513949	1
1.521027	8	8	8	2.631598	8	8	0.3688298	6.078973	4.684523	8	3.085683	6.968403	3.251146	8	8	3
3.558404	8	8	3.075783	8	2.306399	8	2.431662	4.041596	1.568477	2.454061	8	8	8	2.060812	8	5
2.028556	8	8	8	2.054091	8	8	8	5.571444	4.14996	8	4.140212	7.54928	3.421794	8	0.3688298	7
6.578229	4.14996	8	8	2.105216	8	8	0.7513949	1.021771	8	8	8	7.494784	2.974109	8	3.738169	0
4.645432	1.071843	8	4.024432	5.764279	8	8	3.738169	2.954568	1.157738	8	8	3.997627	1.887185	4.737968	2.431662	2
0.7904551	0.241338	8	8	6.276717	3.317611	8	6.734406	6.809545	2.053321	5.924465	3.075783	3.323283	8	8	8	7
6.158871	1.141382	8	4.94175	5.455154	2.968086	8	8	1.441129	8	8	8	4.144846	2.17873	5.954464	3.503532	1
0.2033246	8	8	8	6.02571	3.227016	8	3.978679	7.396675	2.589834	6.550411	0.2517762	3.574291	8	8	8	8
3.173908	2.04315	8	3.063454	5.686968	3.407511	8	4.530519	4.426092	1.073612	4.679896	2.811638	4.136434	2.307604	8	8	5
7.508917	5.100855	8	8	1.443704	8	8	8	0.09108329	8	8	8	8	3.832536	8	0.7528676	1
1.517648	8	8	8	2.645206	8	8	0.3918202	6.082352	4.680052	8	3.063454	6.954794	3.227016	8	8	3
3.559146	8	8	3.05696	8	2.307604	8	2.432937	4.040854	1.55257	2.459857	8	8	8	2.068923	8	5
2.041761	8	8	8	2.051671	8	8	8	5.558239	4.128306	8	4.124069	7.5521	3.407511	8	0.3918202	7
6.569662	4.128306	8	8	2.112213	8	8	0.7528676	1.030338	8	8	8	7.487787	2.968086	8	3.715845	0
4.646131	1.073612	8	4.008274	5.750923	8	8	3.715845	2.953869	1.141382	8	8	4.010278	1.93554	4.749292	2.432937	2
0.8036845	8	8	0.2517762	6.279442	3.303703	8	6.714232	6.796315	2.04315	5.912078	3.05696	3.320558	8	8	8	7
6.144778	1.12571	8	4.921887	5.454978	2.96067	8	8	1.455222	8	8	8	4.145023	2.214462	5.944617	3.484911	1
0.2094126	8	8	8	6.015758	3.201691	8	3.974496	7.390587	2.582594	6.550937	0.2633881	3.584242	8	8	8	8
3.17235	2.032902	8	3.041004	5.673891	3.392568	8	4.509652	4.42765	1.074309	4.691761	2.847774	4.148347	2.308866	8	8	5
7.498389	5.076806	8	8	1.445514	8	8	8	0.1016107	8	8	8	8	3.831792	8	0.7558278	1
1.514236	8	8	8	2.658734	8	8	0.4145018	6.085764	4.674232	8	3.041004	6.941267	3.201691	8	8	3
3.55966	8	8	3.037752	8	2.308866	8	2.434324	4.04034	1.538125	2.465965	8	8	8	2.076982	8	5
2.055006	8	8	8	2.049651	8	8	8	5.544994	4.105337	8	4.106056	7.554543	3.392568	8	0.4145018	7
6.559793	4.105337	8	8	2.120031	8	8	0.7558278	1.040207	8	8	8	7.479969	2.96067	8	3.692188	0
4.645317	1.074309	8	3.990667	5.736768	8	8	3.692188	2.954683	1.12571	8	8	4.024115	1.985377	4.760411	2.434324	2
0.8168051	8	8	0.2633881	6.282513	3.290282	8	6.692824	6.783195	2.032902	5.899586	3.037752	3.317487	8	8	8	7
6.129953	1.110586	8	4.9001	5.453771	2.951227	8	8	1.470047	8	8	8	4.14623	2.25117	5.934998	3.465574	1
